M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
96,5,3,6.666666666666667e-05,0.7495333333333333,1.6313077590969351e-06,0.9810544796841596
96,5,4,0.0,0.6538666666666668,1.926433473945067e-06,0.9781930987741893
96,5,5,6.666666666666667e-05,0.5669333333333333,2.0561736419024457e-06,0.9753667071240224
96,5,6,0.0,0.4713999999999999,2.8565611333998515e-06,0.9723817788195455
96,5,7,6.666666666666667e-05,0.3895333333333333,3.85513815523105e-06,0.9688237307116133
96,5,8,0.0002,0.30826666666666663,3.857098579524654e-06,0.9644524732769818
96,5,9,0.0003333333333333333,0.24053333333333335,5.17080953132914e-06,0.9603391932282883
96,5,10,0.0002,0.18606666666666669,6.237621975331064e-06,0.9553231628780037
96,5,11,0.0005333333333333334,0.1392666666666667,7.513881310241837e-06,0.9501534807723364
96,5,12,0.0007333333333333334,0.1088,1.006221304841304e-05,0.944505220089512
96,5,13,0.0015333333333333334,0.0804,1.0777097880881684e-05,0.9379117197296765
96,5,14,0.0015333333333333336,0.06040000000000002,1.4980837813219772e-05,0.9316149173490931
96,5,15,0.0011333333333333336,0.044466666666666675,1.8177272446057873e-05,0.923004765792939
96,5,16,0.0018000000000000002,0.032066666666666674,2.0071721929437934e-05,0.9152698351013303
96,5,17,0.0031333333333333343,0.02300000000000001,2.6158143839368977e-05,0.9053960321033814
96,5,18,0.004000000000000001,0.016466666666666668,3.231785463511933e-05,0.8953659302900926
96,5,19,0.006466666666666668,0.011133333333333337,3.7457871565800804e-05,0.8833563967937952
96,5,20,0.007666666666666669,0.0072000000000000015,4.7187972596350734e-05,0.8730930646142002
96,5,21,0.008666666666666668,0.007133333333333335,5.5264137627627486e-05,0.8600849287052579
96,5,22,0.01266666666666667,0.0055333333333333345,6.367890345862643e-05,0.8485859867102715
96,5,23,0.016800000000000006,0.003333333333333334,8.47464249063789e-05,0.8339967943259479
96,5,24,0.01866666666666667,0.0028666666666666662,9.975393883304148e-05,0.8159439698288538
96,5,25,0.022866666666666677,0.0017333333333333335,0.0001254111694630051,0.8007118734016718
96,5,26,0.029266666666666673,0.0010000000000000002,0.0001507397992698175,0.7832319956276774
96,5,27,0.03693333333333335,0.0008,0.00017073857837412228,0.7658262277871818
96,5,28,0.041333333333333354,0.0008000000000000003,0.00021177960812601246,0.7449287208714498
96,5,29,0.04893333333333336,0.0006666666666666668,0.00023358267576640825,0.723665501905256
96,5,30,0.059666666666666694,0.0002666666666666667,0.0002994383488238716,0.7016178505678121
96,5,31,0.07526666666666669,0.00013333333333333334,0.0004273278385343811,0.6754654289201263
96,5,32,0.09153333333333337,6.666666666666667e-05,0.00042390659376670794,0.6562194780691936
96,5,33,0.09893333333333336,0.00013333333333333334,0.0005250794802270382,0.6335434460051547
96,5,34,0.11013333333333335,6.666666666666667e-05,0.00064109621196768,0.6045189852540754
96,5,35,0.13193333333333335,0.00013333333333333334,0.0007693575658477658,0.5833210361240115
