M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
88,5,35,0.0,0.7666399999999999
88,5,36,0.0,0.73744
88,5,37,0.0,0.70868
88,5,38,0.0,0.6846399999999998
88,5,39,0.0,0.64916
88,5,40,0.0,0.62092
88,5,41,0.0,0.59084
88,5,42,0.0,0.5643200000000002
88,5,43,0.0,0.5271200000000001
88,7,0,0.0,1.0
88,7,1,0.0,1.0
88,7,2,0.0,1.0
88,7,3,0.0,0.9999199999999999
88,7,4,0.0,0.99992
88,7,5,0.0,0.9998
88,7,6,0.0,0.99988
88,7,7,0.0,0.9994
88,7,8,0.0,0.9996400000000001
88,7,9,0.0,0.9994799999999998
88,7,10,0.0,0.9987599999999999
88,7,11,0.0,0.9981199999999998
88,7,12,0.0,0.9969999999999996
88,7,13,0.0,0.9963599999999997
88,7,14,0.0,0.9950799999999996
88,7,15,0.0,0.9941599999999998
88,7,16,0.0,0.9904799999999996
88,7,17,0.0,0.98664
88,7,18,0.0,0.9845199999999994
88,7,19,0.0,0.97856
88,7,20,0.0,0.9742800000000003
88,7,21,0.0,0.96628
88,7,22,0.0,0.9560400000000001
88,7,23,0.0,0.9477599999999997
88,7,24,0.0,0.9363599999999999
88,7,25,0.0,0.9209999999999999
88,7,26,0.0,0.9045200000000001
88,7,27,0.0,0.8926799999999997
88,7,28,0.0,0.8725999999999998
88,7,29,0.0,0.85316
88,7,30,0.0,0.8232800000000003
88,7,31,0.0,0.802
88,7,32,0.0,0.7797199999999997
88,7,33,0.0,0.7509600000000002
88,7,34,0.0,0.7216000000000001
88,7,35,0.0,0.6951199999999998
88,7,36,0.0,0.6718399999999999
88,7,37,0.0,0.6365200000000001
88,7,38,0.0,0.6126000000000001
88,7,39,0.0,0.5783600000000001
88,7,40,0.0,0.5479999999999999
88,7,41,0.0,0.5178400000000001
88,7,42,0.0,0.49156000000000005
88,7,43,0.0,0.4612800000000001
88,9,0,0.0,1.0
88,9,1,0.0,1.0
88,9,2,0.0,0.9999600000000001
88,9,3,0.0,1.0
88,9,4,0.0,0.9998400000000001
88,9,5,0.0,0.99996
88,9,6,0.0,0.99984
88,9,7,0.0,0.99976
88,9,8,0.0,0.99968
88,9,9,0.0,0.9992399999999999
88,9,10,0.0,0.9989999999999999
