Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
22.74999999999994,0.922201,0.010792,0.009793
22.79999999999994,0.921863,0.010495,0.010146
22.84999999999994,0.921525,0.010198,0.010567
22.89999999999994,0.921185,0.01,0.010904
22.94999999999994,0.920845,0.009802,0.011347
22.99999999999994,0.920505,0.009505,0.011765
23.04999999999994,0.920164,0.009307,0.012241
23.099999999999937,0.919821,0.009307,0.012712
23.149999999999938,0.919479,0.009208,0.013149
23.19999999999994,0.919135,0.00901,0.013576
23.24999999999994,0.918791,0.008911,0.014059
23.29999999999994,0.918446,0.008812,0.014508
23.349999999999937,0.918101,0.008713,0.015108
23.399999999999938,0.917755,0.008416,0.015628
23.44999999999994,0.917408,0.00802,0.016189
23.499999999999936,0.91706,0.007822,0.016659
23.549999999999937,0.916712,0.007723,0.017149
23.599999999999937,0.916363,0.007624,0.01783
23.649999999999938,0.916013,0.007327,0.018365
23.69999999999994,0.915663,0.007228,0.019015
23.749999999999936,0.915311,0.00703,0.019669
23.799999999999937,0.91496,0.006931,0.020384
23.849999999999937,0.914607,0.006931,0.021074
23.899999999999935,0.914254,0.006931,0.021777
23.949999999999935,0.9139,0.006832,0.022433
23.999999999999936,0.913545,0.006535,0.023096
24.049999999999937,0.91319,0.006337,0.023746
24.099999999999937,0.912834,0.006238,0.024523
24.149999999999935,0.912477,0.006139,0.025353
24.199999999999935,0.91212,0.005941,0.026142
24.249999999999936,0.911762,0.005842,0.02695
24.299999999999933,0.911403,0.005743,0.027762
24.349999999999934,0.911044,0.005644,0.028684
24.399999999999935,0.910684,0.005347,0.029588
24.449999999999935,0.910323,0.00505,0.030421
24.499999999999936,0.909961,0.004851,0.031418
24.549999999999933,0.909599,0.004752,0.032303
24.599999999999934,0.909236,0.004752,0.033313
24.649999999999935,0.908872,0.004653,0.034241
24.699999999999932,0.908508,0.004653,0.035263
24.749999999999932,0.908143,0.004653,0.03626
24.799999999999933,0.907777,0.004554,0.03735
24.849999999999934,0.907411,0.004455,0.03843
24.899999999999935,0.907044,0.004158,0.039514
24.949999999999932,0.906676,0.004059,0.040693
24.999999999999932,0.906308,0.004059,0.041833
25.049999999999933,0.905939,0.003861,0.043074
25.09999999999993,0.905569,0.003861,0.044334
25.14999999999993,0.905198,0.003762,0.04556
25.199999999999932,0.904827,0.003663,0.046854
25.249999999999932,0.904455,0.003663,0.048251
25.299999999999933,0.904083,0.003663,0.049659
25.34999999999993,0.903709,0.003564,0.050898
25.39999999999993,0.903335,0.003465,0.052356
25.449999999999932,0.902961,0.003366,0.053709
25.49999999999993,0.902585,0.003267,0.055108
25.54999999999993,0.902209,0.003267,0.056554
25.59999999999993,0.901833,0.003267,0.057981
25.64999999999993,0.901455,0.003267,0.05952
25.699999999999932,0.901077,0.003069,0.061111
25.74999999999993,0.900698,0.003069,0.062669
25.79999999999993,0.900319,0.003069,0.06418
25.84999999999993,0.899939,0.002871,0.06592
25.899999999999928,0.899558,0.002871,0.06756
25.94999999999993,0.899176,0.002772,0.069211
25.99999999999993,0.898794,0.002772,0.07092
26.04999999999993,0.898411,0.002772,0.07261
26.09999999999993,0.898028,0.002772,0.0743
26.149999999999928,0.897643,0.002772,0.076102
26.19999999999993,0.897258,0.002772,0.077882
26.24999999999993,0.896873,0.002673,0.079693
26.299999999999926,0.896486,0.002574,0.081511
26.349999999999927,0.896099,0.002574,0.083334
26.399999999999928,0.895712,0.002574,0.085235
26.44999999999993,0.895323,0.002574,0.087065
26.49999999999993,0.894934,0.002475,0.088981
26.549999999999926,0.894545,0.002376,0.090885
26.599999999999927,0.894154,0.002277,0.092836
26.649999999999928,0.893763,0.002277,0.094929
